Original,Furigana,English,JLPT Level
明確,めいかく,"clear, definite",N3
名刺,めいし,(name) card; business card,N3
名詞,めいし,noun,N3
命じる,めいじる,"to order, to command, to appoint",N3
名人,めいじん,"master, expert",N3
命令,めいれい,"order, command, decree",N3
迷惑,めいわく,"trouble, bother, annoyance",N3
目上,めうえ,person of higher status; one's senior,N3
飯,めし,"meals, food",N3
滅多に,めったに,"rarely (with neg. verb), seldom",N3
メモ,メモ,"memorandum, note",N3
面,めん,"face, mug, surface, side or facet, corner, page",N3
綿,めん,cotton,N3
免許,めんきょ,"license, permit, certificate",N3
面接,めんせつ,interview,N3
面倒,めんどう,"trouble, attention",N3
メンバー,メンバー,member,N3
申し込む,もうしこむ,"to apply for, to make an application",N3
申し訳,もうしわけ,"apology, excuse",N3
毛布,もうふ,blanket,N3
燃える,もえる,to burn,N3
目的,もくてき,"purpose, goal, aim",N3
目標,もくひょう,"mark, objective, target",N3
文字,もじ,"letter (of alphabet), character",N3
文字,もんじ,"letter (of alphabet), character",N3
もしかすると,もしかすると,"perhaps, maybe, by some chance",N3
もしも,もしも,if,N3
持ち上げる,もちあげる,"to raise, to lift up, to flatter",N3
用いる,もちいる,"to use, to make use of",N3
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",N3
尤も,もっとも,"quite right, plausible, natural",N3
元,もと,"origin, original; former",N3
基,もと,basis,N3
素,もと,prime,N3
戻す,もどす,"to restore, to put back, to return",N3
基づく,もとづく,"to be grounded on, to be based on",N3
求める,もとめる,"to request, to ask for; to seek, to search for",N3
者,もの,person (same as 人 (ひと)),N3
物音,ものおと,sounds,N3
物語,ものがたり,"tale, story, legend",N3
物事,ものごと,"things, everything",N3
燃やす,もやす,to burn,N3
模様,もよう,"pattern, figure, design",N3
文句,もんく,a complaint,N3
やがて,やがて,"before long, soon, at length",N3
役,やく,"role, position",N3
約,やく,"approximately, about, some",N3
訳,やく,translation,N3
訳す,やくす,to translate,N3
役割,やくわり,"assigning (allotment of) parts, role, duties",N3
家賃,やちん,rent,N3
厄介,やっかい,"trouble, burden, care",N3
宿,やど,"inn, lodging",N3
雇う,やとう,"to employ, to hire",N3
屋根,やね,roof,N3
破る,やぶる,to tear; to violate; to defeat,N3
破れる,やぶれる,"to get torn, to wear out",N3
辞める,やめる,to retire,N3
やや,やや,"a little, partially, somewhat",N3
唯一,ゆいいつ,"only, sole, unique",N3
勇気,ゆうき,"courage, bravery, boldness",N3
友好,ゆうこう,friendship,N3
有効,ゆうこう,"valid, effectual",N3
優秀,ゆうしゅう,"superiority, excellence",N3
優勝,ゆうしょう,"overall victory, championship",N3
友情,ゆうじょう,"friendship, fellowship",N3
友人,ゆうじん,friend (formal),N3
有能,ゆうのう,"able, capable, efficient",N3
郵便,ゆうびん,"mail, postal service",N3
ユーモア,ユーモア,humor,N3
有利,ゆうり,"advantageous, better",N3
床,ゆか,floor,N3
愉快,ゆかい,"pleasant, happy",N3
譲る,ゆずる,"to turn over, to assign, to hand over",N3
豊か,ゆたか,"abundant, wealthy, plentiful, rich",N3
茹でる,ゆでる,to boil,N3
許す,ゆるす,"to permit, to allow, to approve",N3
夜,よ,"evening, night",N3
夜明け,よあけ,"dawn, daybreak",N3
酔う,よう,to get drunk,N3
容易,ようい,"easy, simple, plain",N3
容器,ようき,"container, vessel",N3
陽気,ようき,"season, weather, cheerfulness",N3
要求,ようきゅう,"request, demand",N3
用心,ようじん,"care, precaution, caution",N3
様子,ようす,"aspect, state, appearance",N3
要するに,ようするに,"in a word, after all, in short …",N3
要素,ようそ,element,N3
要点,ようてん,"gist, main point",N3
曜日,ようび,day of the week,N3
ヨーロッパ,ヨーロッパ,Europe,N3
予期,よき,"expectation, forecast",N3
横切る,よこぎる,"to cross (e.g., arms), to traverse",N3
汚す,よごす,"to pollute, to make dirty",N3
予算,よさん,"estimate, budget",N3
止す,よす,"to cease, to give up",N3
寄せる,よせる,"to collect, to gather, to put aside",N3
予測,よそく,"prediction, estimation",N3
ヨット,ヨット,yacht,N3
夜中,よなか,"midnight, dead of night",N3
世の中,よのなか,"society, the world",N3
余分,よぶん,"extra, excess, surplus",N3
予報,よほう,"forecast, prediction",N3
予防,よぼう,"prevention, protection against",N3
読み,よみ,reading,N3
嫁,よめ,"bride, daughter-in-law",N3
余裕,よゆう,excess; surplus,N3
より,より,"twist, ply",N3
因る,よる,to come from,N3
喜び,よろこび,"joy, pleasure, rejoicing",N3
よろしく (かん),よろしく (かん),"best regards, please remember me",N3
四,よん,four,N3
来,らい～,next ~,N3
ライター,ライター,lighter; writer,N3
楽,らく,"comfort, ease",N3
ラケット,ラケット,racket,N3
利益,りえき,"profits, gains",N3
理解,りかい,"understanding, comprehension",N3
陸,りく,"land, shore",N3
利口,りこう,"clever, shrewd, bright",N3
離婚,りこん,divorce,N3
理想,りそう,ideal,N3
率,りつ,"rate, ratio, percentage",N3
留学,りゅうがく,studying abroad,N3
流行,りゅうこう,"fashionable, fad, prevailing",N3
量,りょう,"quantity, amount",N3
寮,りょう,"hostel, dormitory",N3
両替,りょうがえ,"change, money exchange",N3
料金,りょうきん,"fee, charge, fare",N3
例,れい,"instance, example, case",N3
礼,れい,expression of gratitude; bow,N3
例外,れいがい,exception,N3
礼儀,れいぎ,"manners, courtesy, etiquette",N3
冷静,れいせい,"calm, coolness",N3
列,れつ,"queue, line, row",N3
列車,れっしゃ,train (ordinary),N3
レベル,レベル,level,N3
連想,れんそう,"association (of ideas), suggestion",N3
連続,れんぞく,"consecutive, continuity, continuing",N3
老人,ろうじん,"the aged, old person",N3
労働,ろうどう,"labor, work",N3
ロケット,ロケット,"locket, rocket",N3
論じる,ろんじる,"to argue, to discuss",N3
論争,ろんそう,"controversy, dispute",N3
論文,ろんぶん,"thesis, paper",N3
輪,わ,"ring, hoop, circle",N3
ワイン,ワイン,wine,N3
わがまま,わがまま,"selfishness, egoism, willfulness",N3
別れ,わかれ,"parting, separation, farewell",N3
分かれる,わかれる,"to branch off, to diverge from",N3
脇,わき,side,N3
湧く,わく,"to boil, to grow hot",N3
分ける,わける,"to divide, to separate",N3
わざと,わざと,on purpose,N3
僅か,わずか,"only, merely, a little",N3
綿,わた,cotton,N3
話題,わだい,"topic, subject",N3
笑い,わらい,"laugh, laughter, smile",N3
割る,わる,"to divide, to break",N3
悪口,わるくち,"abuse, insult",N3
我々,われわれ,we,N3
湾,わん,"bay, gulf, inlet",N3
椀,わん,bowl,N3
碗,わん,bowl,N3
悪,あく,"evil, vice",N3
当り,あたり,"hit, success, reaching the mark",N3
アップ,アップ,up,N3
宛てる,あてる,"to address, to put",N3
アンケート,アンケート,"questionnaire (FRE: enquete), survey",N3
異,い,difference (of opinion),N3
意,い,will,N3
医院,いいん,"doctor's office (surgery), clinic",N3
怒り,いかり,anger,N3
粋,いき,"chic, style, purity",N3
意地,いじ,"disposition, spirit, obstinacy, appetite",N3
依然,いぜん,"still, as yet",N3
傷める,いためる,"to damage, to impair, to spoil",N3
炒める,いためる,to stir-fry,N3
一帯,いったい,"a region, the whole place",N3
異動,いどう,"a change, transfer",N3
衣料,いりょう,clothing,N3
渦,うず,swirl,N3
埋まる,うまる,"to be buried, to be filled",N3
産む,うむ,"to give birth (v.t.), to deliver, to produce",N3
縁,えん,"chance, tie, relationship",N3
尾,お,"tail, ridge",N3
負う,おう,"to bear, to owe",N3
遅れ,おくれ,"delay, lag",N3
教え,おしえ,"teachings, doctrine",N3
驚き,おどろき,"surprise, astonishment, wonder",N3
織る,おる,to weave,N3
欠く,かく,"to lack, to crack",N3
角,かく,angle,N3
核,かく,"nucleus, kernel",N3
格,かく,"status, character, case",N3
学歴,がくれき,academic background,N3
駆ける,かける,to run,N3
賭ける,かける,"to bet, to risk, to gamble",N3
課題,かだい,"subject, theme, task",N3
片付け,かたづけ,"tidying up, finishing",N3
加味,かみ,"seasoning, flavoring",N3
借り,かり,"borrowing, debt, loan",N3
狩り,かり,hunting,N3
管,かん,"pipe, tube",N3
～観,かん,"feeling, view",N3
癌,がん,cancer,N3
刊行,かんこう,"publication, issue",N3
慣行,かんこう,"customary practice, habit, traditional event",N3
歓声,かんせい,"cheer, shout of joy",N3
官僚,かんりょう,"bureaucrat, bureaucracy",N3
器官,きかん,"organ (of body, instrument)",N3
季刊,きかん,"quarterly (e.g., magazine)",N3
起源,きげん,"origin, beginning, rise",N3
機構,きこう,"mechanism, organization",N3
築く,きずく,"to build, to establish",N3
規制,きせい,regulation,N3
丘陵,きゅうりょう,hill,N3
協議,きょうぎ,"conference, discussion, negotiation",N3
享受,きょうじゅ,"enjoyment, being given",N3
協調,きょうちょう,"co-operation, conciliation, harmony",N3
切り,きり,"limits, place to leave off",N3
菌,きん,"germ, bacterium",N3
近視,きんし,nearsightedness,N3
苦,く,"trouble, worry, difficulty",N3
群,ぐん,group,N3
刑,けい,"penalty, sentence, punishment",N3
経緯,けいい,"sequence of events, course",N3
計器,けいき,"meter, gauge",N3
契機,けいき,"opportunity, chance",N3
携帯,けいたい,carrying something; mobile telephone,N3
形態,けいたい,"form, shape, figure",N3
血管,けっかん,blood vessel,N3
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",N3
件,けん,"matter, case, item",N3
減少,げんしょう,"decrease, reduction, decline",N3
公演,こうえん,public performance,N3
後悔,こうかい,"regret, repentance",N3
航海,こうかい,"sail, voyage",N3
拘束,こうそく,"restriction, restraint",N3
荒廃,こうはい,ruin,N3
降伏,こうふく,"capitulation, surrender, submission",N3
興奮,こうふん,"excitement, stimulation",N3
語句,ごく,"words, phrases",N3
個々,ここ,"individual, one by one",N3
故人,こじん,the deceased,N3
小銭,こぜに,"coins, small change",N3
ことによると,ことによると,(depending on the circumstances),N3
コンテスト,コンテスト,contest,N3
採集,さいしゅう,"collecting, gathering",N3
作,さく,"a work, a harvest",N3
策,さく,"plan, policy",N3
設備,せつび,"equipment, device, facilities",N3
絶滅,ぜつめつ,"destruction, extinction",N3
節約,せつやく,"economizing, saving",N3
攻める,せめる,"to attack, to assault",N3
責める,せめる,"to condemn, to blame, to criticize",N3
善,ぜん,"good, virtue",N3
全,ぜん,"all, whole, entire",N3
全員,ぜんいん,all members,N3
専攻,せんこう,"major subject, special study",N3
全国,ぜんこく,"the entire nation, country-wide, nation-wide",N3
洗剤,せんざい,detergent,N3
先日,せんじつ,"the other day, a few days ago",N3
前者,ぜんしゃ,the former,N3
選手,せんしゅ,player selected for a team (usually athletic),N3
全身,ぜんしん,"the whole body, full-length (portrait)",N3
前進,ぜんしん,"advance, drive, progress",N3
センター,センター,center,N3
全体,ぜんたい,"whole, entirety, whatever (is the matter)",N3
選択,せんたく,"selection, choice",N3
宣伝,せんでん,"advertisement, publicity",N3
象,ぞう,elephant,N3
騒音,そうおん,noise,N3
増加,ぞうか,"increase, addition",N3
操作,そうさ,"operation, management, processing",N3
想像,そうぞう,"imagination, guess",N3
相続,そうぞく,"succession, inheritance",N3
装置,そうち,"equipment, installation, apparatus",N3
相当,そうとう,"considerably, fairly; worth ~",N3
速度,そくど,"speed, velocity, rate",N3
底,そこ,"bottom, sole",N3
そこで,そこで,"so (conj.), accordingly",N3
組織,そしき,organization; structure; tissue,N3
そして,そして,and then,N3
注ぐ,そそぐ,to pour (into),N3
育つ,そだつ,"to be brought up, to grow (up)",N3
そっくり,そっくり,the splitting image of; entirely,N3
そっと,そっと,"softly, gently",N3
袖,そで,sleeve,N3
備える,そなえる,"to prepare, to furnish, to store",N3
具える,そなえる,to be furnished with,N3
そのうえ,そのうえ,"in addition, furthermore",N3
そのうち,そのうち,"before long, eventually, sooner or later",N3
そのまま,そのまま,"without change, as it is (e.g., now)",N3
蕎麦,そば,soba (buckwheat noodles),N3
ソファー,ソファー,"sofa, couch",N3
粗末,そまつ,"humble, miserable, crude",N3
それぞれ,それぞれ,"each, every, respectively",N3
それでも,それでも,"but (still), and yet, nevertheless",N3
それと,それと,and,N3
それとも,それとも,"or, or else",N3
揃う,そろう,"to become complete, to be equal",N3
揃える,そろえる,"to put things in order, to arrange",N3
損,そん,"loss, disadvantage",N3
損害,そんがい,"damage, loss",N3
尊敬,そんけい,"respect, reverence, honor",N3
存在,そんざい,"existence, being",N3
尊重,そんちょう,"respect, esteem, regard",N3
田,た,rice field,N3
他,た,other (esp. places and things),N3
対,たい,"pair, couple, set",N3
大,だい,"big, great",N3
題,だい,"title, subject, theme",N3
体育,たいいく,"physical education, gymnastics, athletics",N3
体温,たいおん,temperature (body),N3
大会,たいかい,"convention, (big) tournament, mass meeting",N3
大気,たいき,atmosphere,N3
代金,だいきん,"price, cost",N3
退屈,たいくつ,"tedium, boring",N3
滞在,たいざい,"stay, sojourn",N3
大使,たいし,ambassador,N3
大した,たいした,"significant, great, considerable",N3
体重,たいじゅう,(body) weight,N3
対象,たいしょう,"target; object (of worship, study, etc.); subject (i.e., of taxation)",N3
対照,たいしょう,"contrast, antithesis, comparison",N3
大臣,だいじん,cabinet minister,N3
対する,たいする,"to face, to confront, to oppose",N3
大戦,たいせん,"great war, great battle",N3
態度,たいど,"attitude, manner",N3
大統領,だいとうりょう,president,N3
大半,たいはん,"most of, majority, mostly",N3
代表,だいひょう,"representative, delegation",N3
大部分,だいぶぶん,"most part, majority",N3
タイプライター,タイプライター,typewriter,N3
逮捕,たいほ,"arrest, apprehension, capture",N3
題名,だいめい,title,N3
ダイヤ,ダイヤ,(railway) schedule; diamond,N3
太陽,たいよう,sun,N3
平ら,たいら,"flatness, level, smooth",N3
代理,だいり,"representation, proxy, deputy",N3
大陸,たいりく,continent,N3
倒す,たおす,"to throw down, to beat",N3
タオル,タオル,(hand) towel,N3
だが,だが,"but, however",N3
互い,たがい,"mutual, each other",N3
高める,たかめる,"to raise, to lift, to boost",N3
宝,たから,treasure,N3
宅,たく,"house, home",N3
炊く,たく,"to boil, to cook",N3
焚く,たく,"to burn, to kindle, to build a fire",N3
抱く,だく,"to embrace, to hug",N3
だけど,だけど,however,N3
たしか,たしか,"certain, sure, if I remember correctly",N3
確かめる,たしかめる,"to ascertain, to make sure",N3
多少,たしょう,a little (same as 少し (すこし)),N3
助かる,たすかる,to be saved; (something) helps (v.i.),N3
助ける,たすける,"to help (v.t.), to save, to rescue",N3
ただ,ただ,free of charge; just (~); only (~),N3
只,ただ,"free of charge, mere, only",N3
唯,ただ,"mere, sole, plain",N3
戦い,たたかい,"battle, fight",N3
戦う,たたかう,"to fight, to compete, to battle",N3
叩く,たたく,"to strike, to beat",N3
直ちに,ただちに,"at once, immediately",N3
畳む,たたむ,to fold (clothes),N3
立ち上がる,たちあがる,to stand up,N3
立場,たちば,"standpoint, position, situation",N3
建つ,たつ,"to stand; to be built (v.i.), to erect, to be erected",N3
経つ,たつ,(time) passes,N3
達する,たっする,"to reach, to get to",N3
唯,たった,"only, just",N3
だって,だって,"but, because, even",N3
たっぷり,たっぷり,"full, in plenty, ample",N3
たとえ,たとえ,"even if, no matter, though",N3
谷,たに,valley,N3
他人,たにん,"unrelated person, stranger",N3
種,たね,seed; material; cause,N3
束,たば,"bunch, bundle",N3
足袋,たび,Japanese socks (with split toe),N3
度,たび,counter for occurrences,N3
旅,たび,"travel, trip, journey",N3
たびたび,たびたび,"often, repeatedly, frequently",N3
玉,たま,"ball, sphere, coin",N3
球,たま,"globe, sphere, ball",N3
弾,たま,"bullet, shot",N3
偶,たま,"even number, couple, friend",N3
騙す,だます,"to trick, to cheat, to deceive",N3
偶々,たまたま,"unexpectedly, accidentally, by chance",N3
たまらない,たまらない,"intolerable, unbearable, unendurable",N3
溜まる,たまる,"to collect, to gather, to accumulate",N3
黙る,だまる,to be silent,N3
試し,ためし,"trial, test",N3
試す,ためす,"to attempt, to test",N3
溜める,ためる,"to accumulate, to collect",N3
便り,たより,"news, correspondence, letter",N3
頼る,たよる,"to rely on, to have recourse to, to depend on",N3
段,だん,"step, stair, grade",N3
単位,たんい,"credit (for a course in school); unit, denomination",N3
単語,たんご,word; vocabulary,N3
男子,だんし,young man,N3
単純,たんじゅん,simplicity,N3
誕生,たんじょう,birth,N3
ダンス,ダンス,dance,N3
団体,だんたい,"organization, association",N3
担当,たんとう,(in) charge,N3
単なる,たんなる,"mere, simple, sheer",N3
単に,たんに,"simply, merely",N3
地,ち,earth,N3
地位,ちい,"(social) position, status",N3
地域,ちいき,"area, region",N3
チーズ,チーズ,cheese,N3
チーム,チーム,team,N3
知恵,ちえ,"wisdom, wit, intelligence",N3
地下,ちか,"basement, underground",N3
違い,ちがい,"difference, discrepancy",N3
違いない,ちがいない,"(phrase) sure, no mistaking it, for certain",N3
近頃,ちかごろ,"lately, recently, nowadays",N3
地球,ちきゅう,the earth,N3
地区,ちく,"district, section",N3
遅刻,ちこく,"lateness, late coming",N3
知事,ちじ,prefectural governor,N3
知識,ちしき,"knowledge, information",N3
父親,ちちおや,father,N3
知能,ちのう,"intelligence, brains",N3
地平線,ちへいせん,horizon,N3
地方,ちほう,"area, locality, region",N3
茶,ちゃ,tea,N3
チャンス,チャンス,"chance, opportunity",N3
ちゃんと,ちゃんと,"perfectly, properly, exactly",N3
中,ちゅう,"inside, middle, among",N3
注,ちゅう,"annotation, explanatory note",N3
中央,ちゅうおう,"central, center, middle",N3
中学,ちゅうがく,"middle school, junior high school",N3
中古,ちゅうこ,"used, second-hand",N3
中止,ちゅうし,"suspension, stoppage, discontinuance",N3
駐車,ちゅうしゃ,"parking (e.g., car)",N3
昼食,ちゅうしょく,lunch (same as 昼ご飯 (ひるごはん)),N3
中心,ちゅうしん,"center, core",N3
注目,ちゅうもく,"notice, attention, observation",N3
注文,ちゅうもん,"order, request",N3
長期,ちょうき,long time period,N3
調査,ちょうさ,survey; investigation,N3
調子,ちょうし,"condition, state, tune, tone",N3
頂上,ちょうじょう,"top, summit, peak",N3
ちょうだい,ちょうだい,-- colloquial form of ください; typically used by children or women --,N3
貯金,ちょきん,(bank) savings,N3
直接,ちょくせつ,"direct, immediate, firsthand",N3
著者,ちょしゃ,"author, writer",N3
散らす,ちらす,"to scatter, to disperse, to distribute",N3
散る,ちる,"to fall, to scatter (e.g., blossoms)",N3
遂に,ついに,"finally, at last",N3
通過,つうか,"passage through, passing",N3
通貨,つうか,currency,N3
通学,つうがく,commuting to school,N3
通勤,つうきん,commuting to work,N3
通行,つうこう,"passage, passing",N3
通じる,つうじる,"to run to, to lead to, to communicate",N3
通信,つうしん,"correspondence, communications",N3
通訳,つうやく,interpretation; interpreter,N3
捕まる,つかまる,to be arrested; to be caught,N3
掴む,つかむ,"to seize, to catch, to grasp",N3
疲れ,つかれ,"tiredness, fatigue",N3
付き合い,つきあい,socialization; friendship; association,N3
付合う,つきあう,"to associate with, to keep company with, to get on with",N3
次々,つぎつぎ,"in succession, one by one",N3
付く,つく,"to adjoin, to be attached, to adhere",N3
就く,つく,"to settle in (place), to take (seat position), to study (under teacher)",N3
突く,つく,"to thrust, to strike; to poke",N3
次ぐ,つぐ,"to rank next to, to come after",N3
注ぐ,つぐ,to pour (into),N3
付ける,つける,"to attach, to join, to add",N3
着ける,つける,"to put on, to wear; to draw up",N3
伝わる,つたわる,"to be handed down, to be transmitted",N3
土,つち,"earth, soil",N3
続き,つづき,"sequel, continuation",N3
包み,つつみ,"bundle, package",N3
勤め,つとめ,"work, employment",N3
務め,つとめ,duty,N3
繋がる,つながる,"to be connected to, to be related to",N3
繋ぐ,つなぐ,"to tie, to fasten, to connect",N3
繋げる,つなげる,to connect,N3
常に,つねに,always (same as いつも) (written expression),N3
翼,つばさ,wings,N3
つまり,つまり,namely; in other words; in short,N3
罪,つみ,"crime, fault, indiscretion",N3
積む,つむ,"to pile up, to stack",N3
詰める,つめる,"to pack, to shorten, to work out (details)",N3
積もる,つもる,to pile up,N3
梅雨,つゆ,rainy season,N3
辛い,つらい,"painful, heart-breaking",N3
釣,つり,fishing,N3
連れ,つれ,"companion, company",N3
出,で,"outflow, coming (going) out, graduate (of)",N3
出会い,であい,"meeting, rendezvous, encounter",N3
出合い,であい,an encounter,N3
出会う,であう,"to meet by chance, to come across, to happen to encounter",N3
提案,ていあん,"proposal, proposition, suggestion",N3
定期,ていき,fixed term,N3
抵抗,ていこう,"resistance, opposition",N3
提出,ていしゅつ,"presentation, submission, filing",N3
停電,ていでん,failure of electricity,N3
程度,ていど,"degree, amount, level",N3
停留所,ていりゅうじょ,bus or tram stop,N3
デート,デート,date (in the sense of 'social engagement' only),N3
敵,てき,"enemy, rival",N3
出来事,できごと,"incident happening, event",N3
適する,てきする,"to fit, to suit",N3
適切,てきせつ,"appropriate, adequate, relevance",N3
適度,てきど,moderate,N3
適用,てきよう,applying,N3
できれば,できれば,if possible…,N3
手品,てじな,"conjuring trick, magic",N3
ですから,ですから,therefore,N3
鉄,てつ,iron,N3
哲学,てつがく,philosophy,N3
手伝い,てつだい,"help, helper, assistant",N3
徹底,てってい,"thoroughness, completeness",N3
鉄道,てつどう,railway; railroad,N3
徹夜,てつや,"staying up all night, sleepless night",N3
手間,てま,"time, labor",N3
デモ,デモ,"demo, demonstration",N3
典型,てんけい,"type, pattern, archetypal",N3
天候,てんこう,weather,N3
電子,でんし,electron; electronic,N3
テント,テント,tent,N3
伝統,でんとう,"tradition, convention",N3
天然,てんねん,"nature, spontaneity",N3
問い,とい,"question, query",N3
党,とう,party (political),N3
塔,とう,"tower, pagoda",N3
答案,とうあん,"examination paper, examination script",N3
同一,どういつ,"identity, sameness, similarity",N3
銅貨,どうか,copper coin,N3
当時,とうじ,"at that time, in those days (same as そのころ)",N3
動詞,どうし,verb,N3
同時,どうじ,"simultaneous(ly), same time",N3
どうしても,どうしても,"at any cost, no matter what, no matter how hard one tries",N3
どうぞよろしく,どうぞよろしく,pleased to meet you,N3
到着,とうちゃく,arrival,N3
道徳,どうとく,morals,N3
投票,とうひょう,"voting, poll",N3
東洋,とうよう,Orient,N3
同様,どうよう,"identical, same (kind), like",N3
童謡,どうよう,"children's song, nursery rhyme",N3
同僚,どうりょう,colleague; co-worker,N3
道路,どうろ,road,N3
通す,とおす,"to let pass, to overlook, to continue",N3
通り過ぎる,とおりすぎる,"to pass, to pass through",N3
都会,とかい,city,N3
溶く,とく,to dissolve (paint),N3
解く,とく,"to unfasten; answer, solve",N3
退く,どく,"to retreat, to recede, to withdraw",N3
毒,どく,"poison, toxicant",N3
得意,とくい,"pride, triumph, prosperity",N3
読書,どくしょ,reading,N3
独身,どくしん,"single, unmarried",N3
特徴,とくちょう,characteristic(s); feature(s); trait(s),N3
特長,とくちょう,"forte, merit",N3
独特,どくとく,"peculiarity, uniqueness, characteristic",N3
独立,どくりつ,"independence (e.g., Ind. Day), self-support",N3
溶ける,とける,"to melt, to thaw, to dissolve",N3
解ける,とける,"to come untied, to come apart",N3
どこか,どこか,"somewhere, anywhere",N3
ところが,ところが,"however, while, even if",N3
ところで,ところで,by the way; even if,N3
登山,とざん,mountain-climbing,N3
都市,とし,"town, city, urban",N3
年月,としつき,months and years,N3
図書,としょ,books,N3
年寄,としより,"old people, the aged",N3
閉じる,とじる,"to close (e.g., book, eyes), to shut",N3
途端,とたん,"just (now, at the moment, etc.)",N3
土地,とち,"plot of land, lot, soil",N3
突然,とつぜん,"abruptly, suddenly, unexpectedly",N3
トップ,トップ,top,N3
届く,とどく,to reach,N3
とにかく,とにかく,"anyhow, at any rate, anyway",N3
飛ばす,とばす,"to skip over, to omit",N3
飛び出す,とびだす,"to jump out, to rush out, to fly out",N3
留める,とめる,"to fasten, to turn off, to detain",N3
泊める,とめる,to have someone stay (over night) (v.t.),N3
友,とも,"friend, companion, pal",N3
共に,ともに,"sharing with, participate in",N3
虎,とら,tiger,N3
ドライブ,ドライブ,"drive, driving",N3
トラック,トラック,truck; (running) track,N3
ドラマ,ドラマ,drama,N3
トランプ,トランプ,playing cards (lit: trump),N3
取り上げる,とりあげる,"to take up, to pick up; to confiscate",N3
努力,どりょく,"great effort, exertion, endeavor",N3
トレーニング,トレーニング,training,N3
ドレス,ドレス,dress,N3
取れる,とれる,"to come off, to be taken off",N3
泥,どろ,mud,N3
トン,トン,ton (1000 lbs.),N3
とんでもない,とんでもない,"outrageous, No way!",N3
どんなに,どんなに,"how, how much",N3
トンネル,トンネル,tunnel,N3
名,な,"name, reputation",N3
内容,ないよう,"subject, contents, detail",N3
なお,なお,"still, yet",N3
仲,なか,"relation, relationship",N3
流す,ながす,"to drain, to float, to shed (e.g., blood, tears)",N3
半ば,なかば,"middle, halfway",N3
仲間,なかま,"company, fellow, colleague, associate",N3
中身,なかみ,content(s); substance,N3
中味,なかみ,"contents, interior, filling",N3
眺め,ながめ,scene; view; prospect; outlook,N3
眺める,ながめる,"to view, to gaze at",N3
流れ,ながれ,"stream, current",N3
流れる,ながれる,"to flow, to be washed away",N3
亡くす,なくす,to lose someone,N3
殴る,なぐる,to strike; to hit; to punch,N3
無し,なし,without,N3
なぜなら,なぜなら,because,N3
謎,なぞ,"riddle, puzzle, enigma",N3
納得,なっとく,"consent, assent, understanding",N3
何か,なにか,something,N3
なにも,なにも,nothing,N3
鍋,なべ,"saucepan, pot",N3
生,なま,"raw, unprocessed",N3
怠ける,なまける,"to be idle, to neglect",N3
波,なみ,wave,N3
涙,なみだ,tear,N3
悩む,なやむ,"to agonize, to be troubled",N3
鳴らす,ならす,"to ring, to sound",N3
為る,なる,"to change, to be of use, to reach to",N3
生る,なる,to bear fruit,N3
馴れる,なれる,"to become domesticated, to become tame",N3
縄,なわ,rope,N3
何で,なんで,"Why, What for",N3
何でも,なんでも,"by all means, everything",N3
何とか,なんとか,"somehow, anyhow, one way or another",N3
似合う,にあう,"to suit (a person), to match (clothing), (something) becomes (someone)",N3
煮える,にえる,"to boil, to cook, to be cooked",N3
苦手,にがて,"poor (at), weak (in), dislike (of)",N3
握る,にぎる,"to grasp, to seize, to mold sushi",N3
日,にち,day,N3
日常,にちじょう,"ordinary, regular, everyday",N3
日光,にっこう,sunlight,N3
日中,にっちゅう,"daytime, broad daylight",N3
にっこり,にっこり,"smile sweetly, smile, grin",N3
日本,にっぽん,Japan,N3
日本,にほん,Japan,N3
入場,にゅうじょう,"entrance, admission, entering",N3
煮る,にる,"to boil, to cook",N3
人気,にんき,popularity,N3
人間,にんげん,"human being, person",N3
抜く,ぬく,"to extract, to omit, to unplug",N3
抜ける,ぬける,"to come out, to fall out, to be omitted",N3
布,ぬの,cloth,N3
濡らす,ぬらす,"to wet, to soak",N3
根,ね,root,N3
値,ね,"value, price, cost",N3
願い,ねがい,"desire, wish, request",N3
願う,ねがう,"to desire, to wish, to request",N3
鼠,ねずみ,"mouse, rat",N3
熱帯,ねったい,tropics,N3
熱中,ねっちゅう,"enthusiasm, zeal, mania",N3
年間,ねんかん,year,N3
年月,ねんげつ,months and years,N3
年中,ねんじゅう,"whole year, always, everyday",N3
年代,ねんだい,"age, era, period",N3
年齢,ねんれい,"age, years",N3
野,の,field,N3
能,のう,"being skilled in, nicely, properly",N3
農家,のうか,"farmer, farm family",N3
農業,のうぎょう,agriculture,N3
農民,のうみん,"farmers, peasants",N3
能力,のうりょく,"ability, faculty",N3
ノー,ノー,no,N3
軒,のき,eaves,N3
残す,のこす,"to leave (behind, over), to save, to reserve",N3
残り,のこり,"remaining, left-over",N3
乗せる,のせる,"to place on (something), to take on board",N3
載せる,のせる,to place on (something); to publish,N3
覗く,のぞく,"to peek in, to look in",N3
除く,のぞく,"to remove, to exclude, to except",N3
望み,のぞみ,"wish, desire, (a) hope",N3
望む,のぞむ,"to desire, to wish for; to view",N3
後,のち,"afterwards, since then",N3
ノック,ノック,knock; fungo (baseball),N3
伸ばす,のばす,"to extend, to stretch, to reach out",N3
延ばす,のばす,"to extend, to stretch, to reach out",N3
伸びる,のびる,"to extend, to make progress, to grow",N3
延びる,のびる,to be prolonged,N3
